label	sequence	code	agreement	type	reference	HYDDB
STM_0716_S_M_E013_D_bin.53_k121_769071_1	STM_0716_S_M_E013_D_bin.53_k121_769071_1	A	1	fefe_A	no	fefe_A
STM_0716_S_M_E013_A_bin.70_k121_1890232_8	STM_0716_S_M_E013_A_bin.70_k121_1890232_8	A	1	fefe_A	no	fefe_A
STM_0716_S_M_E013_A_bin.70_k121_1890232_6	STM_0716_S_M_E013_A_bin.70_k121_1890232_6	A	1	fefe_A	no	fefe_A
STM_0716_S_M_E013_A_bin.61_k121_1304927_1	STM_0716_S_M_E013_A_bin.61_k121_1304927_1	A	1	fefe_A	no	fefe_A
STM_0716_S_M_E013_A_bin.58_k121_1939325_6	STM_0716_S_M_E013_A_bin.58_k121_1939325_6	A	1	fefe_A	no	fefe_A
STM_0716_S_M_E013_A_bin.58_k121_1227744_3	STM_0716_S_M_E013_A_bin.58_k121_1227744_3	A	1	fefe_A	no	fefe_A
STM_0716_S_M_E013_A_bin.31_k121_411081_3	STM_0716_S_M_E013_A_bin.31_k121_411081_3	A	1	fefe_A	no	fefe_A
STM_0716_S_M_E013_A_bin.31_k121_1781844_8	STM_0716_S_M_E013_A_bin.31_k121_1781844_8	A	1	fefe_A	no	fefe_A
STM_0716_S_M_E013_A_bin.31_k121_1250688_7	STM_0716_S_M_E013_A_bin.31_k121_1250688_7	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_I_bin.13_k121_359970_19	STM_0716_E_M_E069_I_bin.13_k121_359970_19	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_E065_D_bin.10_k121_7502123_3	STM_0716_E_M_E069_E065_D_bin.10_k121_7502123_3	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_E065_D_bin.10_k121_6638483_3	STM_0716_E_M_E069_E065_D_bin.10_k121_6638483_3	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_E065_A_bin.67_k121_773211_3	STM_0716_E_M_E069_E065_A_bin.67_k121_773211_3	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_E065_A_bin.67_k121_13288_8	STM_0716_E_M_E069_E065_A_bin.67_k121_13288_8	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_E065_A_bin.42_k121_2237198_2	STM_0716_E_M_E069_E065_A_bin.42_k121_2237198_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_E061_E_bin.70_k121_4242862_3	STM_0716_E_M_E069_E061_E_bin.70_k121_4242862_3	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_E061_E_bin.70_k121_233145_1	STM_0716_E_M_E069_E061_E_bin.70_k121_233145_1	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_E061_E_bin.45_k121_5820487_12	STM_0716_E_M_E069_E061_E_bin.45_k121_5820487_12	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_E061_E_bin.45_k121_5520984_6	STM_0716_E_M_E069_E061_E_bin.45_k121_5520984_6	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_E061_E_bin.45_k121_4772727_12	STM_0716_E_M_E069_E061_E_bin.45_k121_4772727_12	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_E061_A_bin.81_k121_5829083_5	STM_0716_E_M_E069_E061_A_bin.81_k121_5829083_5	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_E061_A_bin.36_k121_2290110_4	STM_0716_E_M_E069_E061_A_bin.36_k121_2290110_4	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_D_bin.56_k121_830096_1	STM_0716_E_M_E069_D_bin.56_k121_830096_1	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_D_bin.56_k121_757645_2	STM_0716_E_M_E069_D_bin.56_k121_757645_2	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_D_bin.56_k121_381628_19	STM_0716_E_M_E069_D_bin.56_k121_381628_19	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_D_bin.56_k121_2155346_8	STM_0716_E_M_E069_D_bin.56_k121_2155346_8	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_D_bin.35_k121_3010271_3	STM_0716_E_M_E069_D_bin.35_k121_3010271_3	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_A_bin.67_k121_3122636_4	STM_0716_E_M_E069_A_bin.67_k121_3122636_4	A	1	fefe_A	no	fefe_A
STM_0716_E_M_E069_A_bin.67_k121_2251611_3	STM_0716_E_M_E069_A_bin.67_k121_2251611_3	A	1	fefe_A	no	fefe_A
